
[Name]
dingzi_wall_tie

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
1.35498326e-002, 3.84512842e-002, 1.75472692e-001, 3.17273712e+002
1.24492003e-002, 3.85391414e-002, 1.75472692e-001, 3.16979248e+002
1.46504641e-002, 3.83634232e-002, 1.75472692e-001, 3.17938965e+002
1.41890245e-002, 3.73995006e-002, 1.75472692e-001, 3.17661835e+002
1.58759467e-002, 3.76144350e-002, 1.75472692e-001, 3.18667603e+002
1.57510974e-002, 3.82755660e-002, 1.75472692e-001, 3.18550568e+002
1.77583694e-002, 3.67290936e-002, 1.75472692e-001, 3.19673676e+002
1.68602243e-002, 3.71844843e-002, 1.75472692e-001, 3.19317444e+002
1.69261992e-002, 3.62430178e-002, 1.75472692e-001, 3.19352112e+002
1.60234496e-002, 3.66510712e-002, 1.75472692e-001, 3.18878571e+002
1.77177545e-002, 3.76877077e-002, 1.75472692e-001, 3.20077026e+002
1.68517288e-002, 3.81877087e-002, 1.75472692e-001, 3.19557343e+002
1.87000036e-002, 3.53604741e-002, 1.75472692e-001, 3.19731567e+002
1.95086710e-002, 3.57776694e-002, 1.75472692e-001, 3.19877716e+002
1.86374485e-002, 3.62592191e-002, 1.75472692e-001, 3.19823425e+002
1.78185664e-002, 3.58127318e-002, 1.75472692e-001, 3.19617371e+002
1.85837802e-002, 3.71877067e-002, 1.75472692e-001, 3.20139984e+002
1.94498058e-002, 3.66877094e-002, 1.75472692e-001, 3.20091644e+002
2.12325696e-002, 3.47823389e-002, 1.75472692e-001, 3.19852753e+002
2.03736983e-002, 3.52852978e-002, 1.75472692e-001, 3.19893951e+002
2.04279330e-002, 3.43911871e-002, 1.75472692e-001, 3.19763000e+002
1.95699707e-002, 3.48865315e-002, 1.75472692e-001, 3.19776031e+002
2.03158297e-002, 3.61877084e-002, 1.75472692e-001, 3.20173615e+002
2.11818554e-002, 3.56877074e-002, 1.75472692e-001, 3.20202789e+002
2.21057478e-002, 3.33375260e-002, 1.75472692e-001, 3.19478699e+002
2.29291450e-002, 3.37425582e-002, 1.75472692e-001, 3.19492981e+002
2.20849123e-002, 3.42686847e-002, 1.75472692e-001, 3.19740631e+002
2.12733652e-002, 3.38747464e-002, 1.75472692e-001, 3.19678162e+002
2.29139067e-002, 3.46877091e-002, 1.75472692e-001, 3.19958649e+002
2.20478810e-002, 3.51877064e-002, 1.75472692e-001, 3.20163910e+002
2.29245704e-002, 3.27798575e-002, 1.75472692e-001, 3.19101532e+002
2.37559192e-002, 3.31935547e-002, 1.75472692e-001, 3.19015320e+002
2.37799324e-002, 3.41877081e-002, 1.75472692e-001, 3.19848175e+002
2.45195366e-002, 3.16045508e-002, 1.75472692e-001, 3.17859222e+002
2.45094001e-002, 3.25665846e-002, 1.75472692e-001, 3.18303284e+002
2.37293318e-002, 3.22020799e-002, 1.75472692e-001, 3.18515503e+002
2.52723619e-002, 3.27784605e-002, 1.75472692e-001, 3.18043243e+002
2.51042638e-002, 3.19560058e-002, 1.75472692e-001, 3.17703217e+002
2.46459581e-002, 3.36877070e-002, 1.75472692e-001, 3.19072723e+002
2.58987639e-002, 3.18692140e-002, 1.75472692e-001, 3.17364990e+002
2.52947025e-002, 3.09876353e-002, 1.75472692e-001, 3.17141205e+002
2.65251677e-002, 3.09599694e-002, 1.75472692e-001, 3.16762207e+002
2.60543507e-002, 3.03517114e-002, 1.75472692e-001, 3.16605560e+002
2.67980192e-002, 2.96971686e-002, 1.75472692e-001, 3.16450012e+002
2.71515716e-002, 3.00507229e-002, 1.75472692e-001, 3.16477661e+002
1.51108718e-002, 3.70366462e-002, 1.75472692e-001, 3.18256683e+002
1.23197902e-002, 3.80561762e-002, 1.75472692e-001, 3.16950531e+002
-4.49951412e-003, 4.52188849e-002, 1.35527000e-001, 3.22398407e+002
-4.49951412e-003, 4.71400172e-002, 1.35919571e-001, 3.22347198e+002
-4.49951412e-003, 4.70858440e-002, 1.34488568e-001, 3.22367340e+002
-4.49951412e-003, 4.35725786e-002, 1.36343569e-001, 3.21898590e+002
-4.49951412e-003, 4.49479744e-002, 1.37027323e-001, 3.22343445e+002
-4.49951412e-003, 4.70761284e-002, 1.33103713e-001, 3.22379517e+002
-4.49951412e-003, 4.49498966e-002, 1.34115845e-001, 3.22308289e+002
-4.49951412e-003, 4.32784110e-002, 1.35375425e-001, 3.21720123e+002
-4.49951412e-003, 4.14972119e-002, 1.35472700e-001, 3.20485687e+002
-4.49951412e-003, 4.27440591e-002, 1.34378269e-001, 3.21434113e+002
-4.49951412e-003, 4.14972119e-002, 1.36472687e-001, 3.20673767e+002
-4.49951412e-003, 4.14972119e-002, 1.34472698e-001, 3.20282867e+002
