
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
5.60414679e-002, -2.14333106e-002, 1.67615548e-001, 3.00713776e+002
5.60414717e-002, -2.14333013e-002, 1.65651262e-001, 3.00919525e+002
5.60414754e-002, -2.14332920e-002, 1.63686976e-001, 3.01099335e+002
5.74565157e-002, -1.72854699e-002, 1.67615548e-001, 3.00652802e+002
5.67868762e-002, -1.93723198e-002, 1.65651262e-001, 3.00883606e+002
5.74565157e-002, -1.72854736e-002, 1.65651262e-001, 3.00870239e+002
5.67868724e-002, -1.93723235e-002, 1.67615548e-001, 3.00671844e+002
5.67868799e-002, -1.93723086e-002, 1.61722690e-001, 3.01176025e+002
5.74565120e-002, -1.72854774e-002, 1.61722690e-001, 3.01143341e+002
5.74565120e-002, -1.72854774e-002, 1.63686976e-001, 3.01043732e+002
5.67868762e-002, -1.93723161e-002, 1.63686976e-001, 3.01068634e+002
5.60414791e-002, -2.14332808e-002, 1.61722690e-001, 3.01221954e+002
5.80494925e-002, -1.51755577e-002, 1.67615548e-001, 3.00659485e+002
5.80494888e-002, -1.51755707e-002, 1.65651262e-001, 3.00870575e+002
5.80494851e-002, -1.51755838e-002, 1.63686976e-001, 3.01037109e+002
5.85650131e-002, -1.30454218e-002, 1.65651262e-001, 3.00896027e+002
5.85650168e-002, -1.30454022e-002, 1.67615548e-001, 3.00684631e+002
5.85650094e-002, -1.30454497e-002, 1.61722690e-001, 3.01160034e+002
5.85650094e-002, -1.30454395e-002, 1.63686976e-001, 3.01061157e+002
5.80494851e-002, -1.51755894e-002, 1.61722690e-001, 3.01140411e+002
5.67868687e-002, -1.93723347e-002, 1.71544120e-001, 3.00266785e+002
5.74565157e-002, -1.72854625e-002, 1.71544120e-001, 3.00247162e+002
5.74565195e-002, -1.72854606e-002, 1.73508406e-001, 3.00015228e+002
5.74565120e-002, -1.72854811e-002, 1.75472692e-001, 3.00955200e+002
5.67868613e-002, -1.93723552e-002, 1.73508421e-001, 3.00030701e+002
5.60414605e-002, -2.14333385e-002, 1.71544135e-001, 3.00305206e+002
5.67868501e-002, -1.93724018e-002, 1.75472692e-001, 3.00984894e+002
5.60414381e-002, -2.14333888e-002, 1.73508421e-001, 3.00064362e+002
5.60414009e-002, -2.14335248e-002, 1.75472692e-001, 3.01011108e+002
5.74565157e-002, -1.72854662e-002, 1.69579834e-001, 3.00449310e+002
5.67868724e-002, -1.93723291e-002, 1.69579834e-001, 3.00470428e+002
5.60414642e-002, -2.14333218e-002, 1.69579834e-001, 3.00512085e+002
5.85650280e-002, -1.30453585e-002, 1.71544135e-001, 3.00258636e+002
5.85650392e-002, -1.30453035e-002, 1.73508421e-001, 3.00015594e+002
5.90025075e-002, -1.08974855e-002, 1.75472692e-001, 3.00939667e+002
5.80495000e-002, -1.51755316e-002, 1.71544135e-001, 3.00247162e+002
5.80495074e-002, -1.51755055e-002, 1.73508421e-001, 3.00007172e+002
5.85650951e-002, -1.30451722e-002, 1.75472692e-001, 3.00909180e+002
5.80495261e-002, -1.51754664e-002, 1.75472692e-001, 3.00923706e+002
5.85650243e-002, -1.30453818e-002, 1.69579834e-001, 3.00470490e+002
5.80494963e-002, -1.51755456e-002, 1.69579834e-001, 3.00450836e+002
5.96405305e-002, -6.56189397e-003, 1.51901260e-001, 3.01169220e+002
5.96405305e-002, -6.56190701e-003, 1.53865546e-001, 3.01167572e+002
5.93610704e-002, -8.73569585e-003, 1.51901260e-001, 3.01104767e+002
5.98404147e-002, -4.37932229e-003, 1.53865546e-001, 3.01230438e+002
5.98404147e-002, -4.37931344e-003, 1.51901260e-001, 3.01234680e+002
5.99604547e-002, -2.19087116e-003, 1.51901260e-001, 3.01281067e+002
5.99604547e-002, -2.19087559e-003, 1.53865546e-001, 3.01278900e+002
5.93610629e-002, -8.73574521e-003, 1.57794118e-001, 3.01222260e+002
5.96405268e-002, -6.56193309e-003, 1.57794118e-001, 3.01281830e+002
5.96405268e-002, -6.56194519e-003, 1.59758404e-001, 3.01329315e+002
5.93610592e-002, -8.73576012e-003, 1.59758404e-001, 3.01264252e+002
5.90023994e-002, -1.08978665e-002, 1.57794118e-001, 3.01175385e+002
5.90023957e-002, -1.08978832e-002, 1.59758404e-001, 3.01217621e+002
5.96405268e-002, -6.56192005e-003, 1.55829832e-001, 3.01209564e+002
5.93610667e-002, -8.73571169e-003, 1.53865546e-001, 3.01110138e+002
5.93610667e-002, -8.73572845e-003, 1.55829832e-001, 3.01156006e+002
5.90024032e-002, -1.08978292e-002, 1.53865546e-001, 3.01061707e+002
5.90024032e-002, -1.08978478e-002, 1.55829832e-001, 3.01109161e+002
6.00004867e-002, 4.98398890e-007, 1.59758404e-001, 3.01460480e+002
5.99604547e-002, -2.19088444e-003, 1.57794118e-001, 3.01387665e+002
6.00004867e-002, 4.98398890e-007, 1.57794118e-001, 3.01403900e+002
5.99604547e-002, -2.19088839e-003, 1.59758404e-001, 3.01447632e+002
5.98404147e-002, -4.37934045e-003, 1.57794118e-001, 3.01339569e+002
5.98404147e-002, -4.37934883e-003, 1.59758404e-001, 3.01396362e+002
6.00004867e-002, 4.98398890e-007, 1.53865546e-001, 3.01295349e+002
6.00004867e-002, 4.98398890e-007, 1.55829832e-001, 3.01334137e+002
5.99604547e-002, -2.19088001e-003, 1.55829832e-001, 3.01316528e+002
5.98404147e-002, -4.37933160e-003, 1.55829832e-001, 3.01269043e+002
